CPU	 1	 0.016675
CPU	 3	 0.016675
CPU	 5	 0.01665
CPU	 7	 0.016675
CPU	 9	 0.016675
CPU	 11	 0.01665
CPU	 13	 0.016675
CPU	 15	 0
CPU	 17	 0.016675
CPU	 19	 0.016675
CPU	 21	 0.01665
CPU	 23	 0.016675
CPU	 25	 0.03335
CPU	 27	 0.016675
CPU	 29	 0.033325
CPU	 31	 0.01665
CPU	 33	 0.016675
CPU	 35	 0.016675
CPU	 37	 0.016675
CPU	 39	 0.016675
CPU	 41	 0.016675
CPU	 43	 0.01665
CPU	 45	 0.01665
CPU	 47	 0.01665
CPU	 49	 0.033325
IO	 0	 1059.05
IO	 2	 1059.07
IO	 4	 1059.1
IO	 6	 1059.12
IO	 8	 1059.13
IO	 10	 1059.15
IO	 12	 1059.15
IO	 14	 1059.17
IO	 16	 1059.17
IO	 18	 1059.17
IO	 20	 1059.17
IO	 22	 1059.15
IO	 24	 1059.15
IO	 26	 1059.12
IO	 28	 1059.1
IO	 30	 1059.08
IO	 32	 1059.05
IO	 34	 1059.02
IO	 36	 1059
IO	 38	 1058.97
IO	 40	 1058.93
IO	 42	 1058.9
IO	 44	 1058.85
IO	 46	 1058.8
IO	 48	 1058.75
