CPU	 3	 0
CPU	 5	 0
CPU	 7	 0
CPU	 9	 0
CPU	 11	 0.01665
CPU	 13	 0.016675
CPU	 15	 0
CPU	 17	 0
CPU	 21	 0
CPU	 23	 0.016675
CPU	 27	 0
CPU	 29	 0.01665
CPU	 31	 0
CPU	 33	 0
CPU	 35	 0.016675
CPU	 41	 0.016675
CPU	 43	 0.016675
CPU	 45	 0.01665
CPU	 49	 0.016675
CPU	 51	 0
CPU	 53	 0.016675
CPU	 57	 0.01665
CPU	 59	 0.01665
CPU	 61	 0.01665
CPU	 65	 0.01665
CPU	 67	 0.01665
CPU	 69	 0.01665
CPU	 71	 0.01665
CPU	 73	 0.016675
CPU	 75	 0
CPU	 77	 0.016675
CPU	 81	 0
CPU	 83	 0.016675
CPU	 85	 0.016675
CPU	 87	 0.01665
CPU	 89	 0.016675
CPU	 91	 0.01665
CPU	 93	 0.016675
CPU	 95	 0.016675
CPU	 97	 0.01665
CPU	 99	 0.016675
IO	 0	 967.15
CPU	 19	 0.016675
CPU	 25	 0.01665
CPU	 37	 0.016675
CPU	 39	 0.01665
CPU	 47	 0.01665
CPU	 55	 0.016675
CPU	 63	 0.01665
CPU	 79	 0.01665
CPU	 1	 929.667
IO	 24	 1777.6
IO	 42	 1780.62
IO	 6	 1785.48
IO	 46	 1788.87
IO	 94	 1803.45
IO	 88	 1808.82
IO	 4	 1812.1
IO	 32	 1812.45
IO	 58	 1813.28
IO	 34	 1819.1
IO	 48	 1820.17
IO	 40	 1820.47
IO	 56	 1820.57
IO	 70	 1820.67
IO	 22	 1822.2
IO	 66	 1822.67
IO	 26	 1823.52
IO	 14	 1827.4
IO	 16	 1838.6
IO	 20	 1848.55
IO	 28	 1862.65
IO	 36	 1881.03
IO	 44	 1896.1
IO	 52	 1899.75
IO	 68	 1907.13
IO	 74	 1922.95
IO	 76	 1931.68
IO	 84	 1945
IO	 86	 1959
IO	 64	 1823.18
IO	 92	 1817.17
IO	 38	 1960.57
IO	 62	 1962.15
IO	 80	 1962.68
IO	 8	 1964.73
IO	 50	 1964.45
IO	 18	 1965.8
IO	 60	 1965.47
IO	 90	 1965.62
IO	 10	 1968.38
IO	 72	 1967.78
IO	 30	 1968.95
IO	 78	 1968.13
IO	 2	 1970.38
IO	 12	 1970.38
IO	 54	 1970.98
IO	 82	 1971.08
IO	 96	 1971.45
IO	 98	 1971.52
