CPU	 1	 0.016675
CPU	 3	 0.016675
CPU	 5	 0.01665
CPU	 7	 0.016675
CPU	 9	 0.016675
CPU	 11	 0.01665
CPU	 13	 0
CPU	 15	 0.01665
CPU	 17	 0.016675
CPU	 19	 0
CPU	 21	 0.016675
CPU	 23	 0.016675
CPU	 25	 0.01665
CPU	 27	 0
CPU	 29	 0.016675
CPU	 31	 0.016675
CPU	 33	 0.01665
CPU	 35	 0.033325
CPU	 37	 0.033325
CPU	 39	 0
CPU	 41	 0.01665
CPU	 43	 0.016675
CPU	 45	 0.016675
CPU	 47	 0.033325
CPU	 49	 0.016675
CPU	 51	 0.016675
CPU	 53	 0.016675
CPU	 55	 0.01665
CPU	 57	 0.01665
CPU	 59	 0.033325
CPU	 61	 0.03335
CPU	 63	 0.016675
CPU	 65	 0.01665
CPU	 67	 0.033325
CPU	 69	 0.03335
CPU	 71	 0.016675
CPU	 73	 0.01665
CPU	 75	 0.016675
CPU	 77	 0.016675
CPU	 79	 0.01665
CPU	 81	 0.016675
CPU	 83	 0.033325
CPU	 85	 0.016675
CPU	 87	 0.016675
CPU	 89	 0.033325
CPU	 91	 0.033325
CPU	 93	 0.03335
CPU	 95	 0.033325
CPU	 97	 0.033325
CPU	 99	 0.016675
IO	 6	 1745.58
IO	 8	 1745.7
IO	 2	 1745.98
IO	 4	 1746
IO	 30	 1745.75
IO	 28	 1746.48
IO	 54	 1746.47
IO	 58	 1747.6
IO	 66	 1747.52
IO	 38	 1748.47
IO	 26	 1748.77
IO	 48	 1748.32
IO	 64	 1748.02
IO	 10	 1749.25
IO	 0	 1749.37
IO	 44	 1748.82
IO	 72	 1748.03
IO	 62	 1748.35
IO	 70	 1748.13
IO	 24	 1749.32
IO	 46	 1748.88
IO	 32	 1749.22
IO	 16	 1749.58
IO	 40	 1749.13
IO	 42	 1749.1
IO	 20	 1749.55
IO	 56	 1748.77
IO	 36	 1749.27
IO	 52	 1748.9
IO	 18	 1749.62
IO	 34	 1749.35
IO	 94	 1747.6
IO	 50	 1749.07
IO	 14	 1749.92
IO	 74	 1748.48
IO	 12	 1750.12
IO	 98	 1747.78
IO	 22	 1750.02
IO	 76	 1748.75
IO	 92	 1748.17
IO	 82	 1748.55
IO	 84	 1748.52
IO	 78	 1748.75
IO	 60	 1749.32
IO	 96	 1748.08
IO	 68	 1749.12
IO	 90	 1748.37
IO	 86	 1748.53
IO	 80	 1748.77
IO	 88	 1748.48
