CPU	 1	 0
CPU	 5	 0
CPU	 7	 0.016675
CPU	 9	 0
CPU	 11	 0
CPU	 13	 0
CPU	 15	 0
CPU	 19	 0.016675
CPU	 23	 0.016675
CPU	 25	 0
CPU	 27	 0.016675
CPU	 29	 0
CPU	 31	 0
CPU	 33	 0.01665
CPU	 35	 0.016675
CPU	 37	 0.016675
CPU	 43	 0.016675
CPU	 45	 0.01665
CPU	 49	 0.016675
CPU	 3	 0.01665
CPU	 17	 0.01665
CPU	 21	 0.01665
CPU	 39	 0.01665
CPU	 41	 0.016675
CPU	 47	 0.01665
IO	 10	 905.65
IO	 4	 909.983
IO	 2	 916.633
IO	 12	 918.45
IO	 16	 919.35
IO	 20	 920.483
IO	 6	 921.2
IO	 14	 922.067
IO	 36	 921.917
IO	 26	 922.7
IO	 0	 924
IO	 8	 924.633
IO	 32	 925.317
IO	 40	 925.883
IO	 18	 928.567
IO	 46	 928.267
IO	 22	 929.467
IO	 38	 930.233
IO	 42	 932.183
IO	 30	 933.517
IO	 48	 933.717
IO	 44	 933.85
IO	 24	 946.5
IO	 28	 961.383
IO	 34	 963.017
